sampler_label,report_count,average,report_min,report_max,report_stddev,report_error%,report_rate,report_bandwidth,average_bytes
/drupal7/,150,10821,47,35003,8964.786364,0,0.450803783,1.452154621,3298.566667
/drupal7/themes/bartik/css/layout.css,150,11,1,97,12.83831072,0,0.485806358,0.412223774,868.9
/drupal7/modules/system/system.messages.css,150,8,0,59,9.565409906,0,0.485908649,0.339155379,714.7333333
/drupal7/modules/node/node.css,150,9,1,34,7.363284291,0,0.485889761,0.20968231,441.9
/drupal7/modules/user/user.css,150,11,0,102,11.86853918,0,0.485859859,0.489624007,1031.933333
/drupal7/modules/field/theme/field.css,150,9,1,115,12.57656551,0,0.48588504,0.269387825,567.7333333
/drupal7/modules/system/system.theme.css,150,8,1,59,8.913881808,0,0.48587717,0.737815238,1554.966667
/drupal7/misc/jquery.once.js,150,11,1,69,9.900529728,0,0.485965322,0.671492707,1414.933333
/drupal7/themes/bartik/css/colors.css,150,8,0,136,12.80007118,0,0.485907075,0.373398708,786.9
/drupal7/themes/bartik/css/style.css,150,18,2,127,16.36291335,0,0.485962173,3.364133253,7088.766667
/drupal7/themes/bartik/css/print.css,150,10,1,38,8.212524311,0,0.485927538,0.31933285,672.9333333
/drupal7/modules/system/system.menus.css,150,8,1,56,9.542711005,0,0.486026731,0.471661098,993.7333333
/drupal7/misc/drupal.js,150,15,2,224,21.02541214,0,0.486028306,2.527869293,5325.9
/drupal7/misc/jquery.js,150,59,11,693,57.66508668,0,0.486025157,13.01727885,27425.93333
/drupal7/modules/system/system.base.css,150,12,1,52,9.084954595,0,0.486148022,1.053447316,2218.933333
/drupal7/misc/jquery.cookie.js,25,9,1,25,7.064955768,0,0.092225399,0.081327671,903
TOTAL,2275,726,0,35003,3534.360212,0,6.835958041,24.01385554,3597.182418
